sentence,polarity,subjectivity,sentiment
"The Swedish Vikings, called Rus are believed to be the founders of Kievan Rus .",0.0,0.0,neutral
"The Vikings were described by many outside sources, such as the Arab traveler Ibn Fadlan.",0.16666666666666666,0.35000000000000003,positive
"The actions of these Swedish Vikings are commemorated on many runestones in Sweden, such as the Greece runestones and the Varangian runestones.",0.25,0.5,positive
"There was also considerable participation in expeditions westwards, which are commemorated on stones such as the England runestones.",0.05,0.475,neutral
"The last major Swedish Viking expedition appears to have been the ill fated expedition of Ingvar the Far Travelled to Serkland, the region south east of the Caspian Sea.",-0.084375,0.6416666666666666,negative
"Its members are commemorated on the Ingvar runestones, none of which mentions any survivor.",0.0,0.0,neutral
"During the early stages of the Viking Age, a centre of trade in northern Europe developed at Birka on the island of Björkö, not far from where Stockholm was later constructed, in mid latitude Sweden.",0.030000000000000006,0.32,neutral
Birka was founded around 750 AD as a trading port by a king or merchants trying to control trade.,0.0,0.0,neutral
Birka was the Baltic link in the Dnieper Trade Route through Ladoga Aldeigja and Novgorod Holmsgard to the Byzantine Empire and the Abbasid Caliphate.,0.0,0.0,neutral
"It was abandoned around 975, at about the same time Sigtuna was founded as a town some 35 km to the northeast.",0.0,0.125,neutral
It has been estimated that the population in Viking Age Birka was between 500 and 1000 people.,0.0,0.0,neutral
Archaeological finds indicate that Birka still was wealthy in the 9th and 10th centuries.,0.25,0.5,positive
"Thousands of graves, coins, jewelry and other luxury items have been found there.",-0.125,0.375,negative
The actual age of the kingdom of Sweden is unknown.,-0.05,0.35,neutral
Determining its age depends mostly on whether Sweden is considered a nation when the Svear Swedes ruled Svealand or when the Svear and the Götar Geats of Götaland were united under a single ruler.,0.2142857142857143,0.35714285714285715,positive
"In the former case, Svealand was first mentioned as having one single ruler in the year 98 by Tacitus, but it is almost impossible to know for how long it had been this way.",-0.10761904761904761,0.3895238095238095,negative
The epic poem Beowulf describes semi legendary Swedish Geatish wars in the sixth century.,0.55,0.7,positive
"However, historians typically start the line of Swedish monarchs from when Svealand and Götaland were ruled under the same king, namely Erik the Victorious and his son Olof Skötkonung in the tenth century.",-0.08333333333333333,0.3125,negative
"These events are often described as the consolidation of Sweden, although substantial areas were conquered and incorporated later.",0.0,0.0,neutral
"In this context, Götaland primarily refers to the provinces of Östergötland and Västergötland.",0.4,0.5,positive
"Småland was of little interest at the time due to its deep pine forests, with only the city of Kalmar and its castle holding any significant importance.",0.0125,0.63,neutral
"There were also Swedish settlements along the southern coastline of Norrland, one of the four lands of Sweden.",0.0,0.0,neutral
"Saint Ansgar is traditionally credited with introducing Christianity to Sweden in 829, but the new religion did not begin to fully replace paganism until the 12th century.",0.06818181818181818,0.6022727272727273,positive
"During that century, Sweden was undergoing dynastic struggles between the Erik and Sverker clans.",0.0,0.0,neutral
"The conflict ended when a third clan married into the Erik clan, founding the Bjälbo dynasty, which gradually consolidated Sweden into a stronger state.",0.125,0.125,positive
"According to the Legend of Saint Erik and the Erik s Chronicle, Swedish kings conducted a series of Crusades to pagan Finland and started conflicts with the Rus , who by then had no further connections with Sweden.",0.0,0.5,neutral
The Swedish colonisation of the coastal areas of Finland began in the 12th and 13th centuries.,0.0,0.0,neutral
"By the 14th century, this colonisation became more organised, and by the end of the century, several of the coastal areas of Finland were inhabited mostly by Swedes.",0.3333333333333333,0.3333333333333333,positive
"Except for the provinces of Scania, Blekinge, and Halland in the southwest of the Scandinavian peninsula, which were part of the Kingdom of Denmark during this period, feudalism never developed in Sweden as it did in much of Europe.",0.07500000000000001,0.25,positive
"As a result, the peasantry remained largely a class of free farmers throughout most of Swedish history.",0.37142857142857144,0.5761904761904763,positive
"Slavery, also known as thralldom, was not common in Sweden, and the institution gradually diminished due to the spread of Christianity, the difficulty of obtaining slaves from lands east of the Baltic Sea, and by the development of cities before the 16th century.",0.012499999999999997,0.4375,neutral
"Indeed, both slavery and serfdom were abolished altogether by a decree of King Magnus Eriksson in 1335.",0.0,0.0,neutral
"Sweden remained a poor and economically underdeveloped country, where barter was the primary means of exchange.",0.09999999999999999,0.6666666666666666,positive
"In 1319, Sweden and Norway were united in a personal union under King Magnus Eriksson, the grandson of King Magnus Ladulås of Sweden and of King Haakon V of Norway.",0.0,0.3,neutral
Magnus Eriksson also ruled Scania from 1332 to 1360.,0.0,0.0,neutral
"In the mid 14th century, Sweden was struck by the Black Death.",-0.08333333333333333,0.21666666666666667,negative
The population of Sweden and most of Europe was decimated.,0.5,0.5,positive
"The population did not reach its pre 1348 levels until the beginning of the 19th century, with one third of the population dying between 1349 and 1351.",0.0,0.0,neutral
"During this period, the cities began to acquire greater rights and were heavily influenced by German merchants of the Hanseatic League, active especially at Visby.",0.03333333333333333,0.52,neutral
"In 1397, Queen Margaret I of Denmark the former daughter in law of Magnus Eriksson established the personal union of Sweden, Norway, and Denmark through the Kalmar Union.",0.0,0.15,neutral
"However, Margaret s successors, whose rule was centred in Denmark, were unable to control the Swedish nobility.",-0.5,0.5,negative
"In 1520, King Christian II of Denmark, who attempted to restore the Union of Kalmar through military force, ordered the massacre of Swedish nobles in Stockholm, an event known as the Stockholm Bloodbath.",-0.05,0.05,neutral
"This atrocity incited the Swedish nobility to renew their resistance, and on 6 June 1523 now celebrated as Sweden s National Day , they made Gustav Vasa their king.",0.35,0.75,positive
This is sometimes considered as the foundation of modern Sweden.,0.2,0.3,positive
Shortly afterwards the new king rejected Catholicism and led Sweden into the Protestant Reformation.,0.06818181818181818,0.37727272727272726,positive
"The term riksdag was used for the first time in the 1540s, although the first meeting where representatives of different social groups were called to discuss and determine affairs affecting the country as a whole took place as early as 1435, in the town of Arboga.",0.1388888888888889,0.33888888888888885,positive
"During the Riksdag assemblies of 1527 and 1544, under King Gustav Vasa, representatives of all four estates of the realm clergy, nobility, townsmen and peasants were called on to participate for the first time.",0.25,0.3333333333333333,positive
The monarchy became hereditary in 1544.,0.0,0.0,neutral
"When Gustav Vasa broke the monopoly power of the Hanseatic League, he was regarded as a hero by the Swedish people.",0.0,0.0,neutral
"Furthermore, when Sweden did develop, freed itself from the Hanseatic League, and entered its golden era, the fact that the peasantry had traditionally been free meant that more of the economic benefits flowed back to them rather than going to a feudal landowning class.",0.2333333333333333,0.4583333333333333,positive
The end of the 16th century was marked by a final phase of rivalry between the remaining Catholics and the new Protestant communities.,0.07878787878787878,0.6848484848484849,positive
"In 1592, Gustav Vasa s Catholic grandson and king of Poland, Sigismund, ascended the Swedish throne.",0.0,0.1,neutral
He pursued to strengthen Rome s influence by initiating Counter Reformation and created a dual monarchy that temporarily became known as the Polish Swedish Union.,0.0,0.0,neutral
"His despotic rule, strongly characterised by intolerance towards the Protestants, sparked a civil war that plunged Sweden into poverty.",0.43333333333333335,0.7333333333333334,positive
"In opposition, Sigismund s uncle and successor, Charles Vasa, summoned the Uppsala Synod in 1593 which officially confirmed the modern Church of Sweden as Lutheran.",0.30000000000000004,0.65,positive
"Following his deposition in 1599, Sigismund attempted to reclaim the throne sparing no expense, and hostilities between Poland and Sweden continued for the next hundred years.",0.0,0.05,neutral
"Sweden rose to prominence on a continental scale during the reign of king Gustavus Adolphus, seizing territories from Russia and the Polish Lithuanian Commonwealth in multiple conflicts.",0.3,0.475,positive
"During the Thirty Years War, Sweden conquered approximately half of the Holy Roman states and defeated the Imperial army at the Battle of Breitenfeld in 1631.",-0.16666666666666666,0.16666666666666666,negative
"Gustavus Adolphus planned to become the new Holy Roman Emperor, ruling over a united Scandinavia and the Holy Roman states, but he was killed at the Battle of Lützen in 1632.",-0.03181818181818183,0.22727272727272727,neutral
"After the Battle of Nördlingen in 1634, Sweden s only significant military defeat of the war, pro Swedish sentiment among the German states faded.",0.06875,0.49375,positive
"These German provinces broke away from Swedish power one by one, leaving Sweden with only a few northern German territories: Swedish Pomerania, Bremen Verden and Wismar.",-0.05,0.275,neutral
"From 1643 to 1645, during the last years of the war, Sweden and Denmark Norway fought the Torstenson War.",0.0,0.06666666666666667,neutral
The result of that conflict and the conclusion of the Thirty Years War helped establish postwar Sweden as a major force in Europe.,0.0625,0.5,positive
The Peace of Westphalia in 1648 granted Sweden territories in northern Germany.,0.0,0.0,neutral
"In the middle of the 17th century, Sweden was the third largest country in Europe by land area.",0.0,0.0,neutral
"Sweden reached its largest territorial extent under the rule of Charles X after the treaty of Roskilde in 1658, following Charles X s crossing of the Danish Belts.",0.0,0.1,neutral
"The foundation of Sweden s success during this period is credited to Gustav I s major changes to the Swedish economy in the 16th century, and his introduction of Protestantism.",0.18125,0.25,positive
One third of the Finnish population died in the devastating Great Famine of 1695 1697 that struck the country.,-0.06666666666666665,0.5833333333333334,negative
"Famine also hit Sweden, killing roughly 10 of Sweden s population.",-0.1,0.4,negative
"In the 17th century, Sweden was engaged in many wars, for example with Poland Lithuania, with both sides competing for territories of today s Baltic states.",0.5,0.5,positive
"The Polish Swedish War 1626 1629 ended with a ceasefire in Stary Targ Truce of Altmark on 26 September 1629 that was in favour of the Swedes, to whom Poland ceded the larger part of Livonia together with its important port of Riga.",0.2,0.75,positive
"The Swedes also got the right to tax Poland s trade on the Baltic 3.5 on the value of goods , and kept control of many of the cities in Royal and Ducal Prussia including Piława Pillau , Memel and Elbląg Elbing .",0.39285714285714285,0.5178571428571428,positive
"The Swedes later conducted a series of invasions into the Polish Lithuanian Commonwealth, known as the Deluge.",0.0,0.0,neutral
"After more than half a century of almost constant warfare, the Swedish economy had deteriorated.",0.11111111111111112,0.3333333333333333,positive
"It became the lifetime task of Charles X s son, Charles XI, to rebuild the economy and refit the army.",0.0,0.0,neutral
"His legacy to his son, the coming ruler of Sweden, Charles XII, was one of the finest arsenals in the world, a large standing army and a great fleet.",0.5071428571428571,0.5892857142857143,positive
"Russia, the most serious threat to Sweden at this time, had a larger army but lagged far behind in both equipment and training.",-0.02666666666666666,0.6733333333333332,neutral
"After the Battle of Narva in 1700, one of the first battles of the Great Northern War, the Russian army was so severely devastated that Sweden had an open chance to invade Russia.",0.2625,0.3958333333333333,positive
"However, Charles XII did not pursue the Russian army, instead turning against Poland and defeating the Polish king, Augustus II the Strong, and his Saxon allies at the Battle of Kliszów in 1702.",0.21666666666666667,0.3666666666666667,positive
This gave Russia time to rebuild and modernise its army.,0.0,0.0,neutral
"After the success of invading Poland, Charles XII decided to make an attempt at invading Russia, but this ended in a decisive Russian victory at the Battle of Poltava in 1709.",0.15,0.0,positive
"After a long march exposed to Cossack raids, the Russian Tsar Peter the Great s scorched earth techniques and the extremely cold winter of 1709, the Swedes stood weakened with a shattered morale and were enormously outnumbered against the Russian army at Poltava.",0.025000000000000005,0.5083333333333333,neutral
The defeat meant the beginning of the end for the Swedish Empire.,0.0,0.0,neutral
"In addition, the plague raging in East Central Europe devastated the Swedish dominions and reached Central Sweden in 1710.",0.0,0.25,neutral
"Returning to Sweden in 1715, Charles XII launched two campaigns against Norway in 1716 and 1718, respectively.",0.0,0.1,neutral
"During the second attempt, he was shot to death during the siege of Fredriksten fortress.",0.0,0.0,neutral
"The Swedes were not militarily defeated at Fredriksten, but the whole structure and organisation of the campaign fell apart with the king s death.",0.125,0.25,positive
"Forced to cede large areas of land in the Treaty of Nystad in 1721, Sweden also lost its place as an empire and as the dominant state on the Baltic Sea.",-0.042857142857142885,0.3142857142857143,neutral
"With Sweden s lost influence, Russia emerged as an empire and became one of Europe s dominant nations.",0.0,0.0,neutral
"As the war finally ended in 1721, Sweden had lost an estimated 200,000 men, 150,000 of those from the area of present day Sweden and 50,000 from the Finnish part of Sweden.",0.0,0.5,neutral
"Executive power was historically shared between the King and an aristocratic Privy council until 1680, followed by the King s autocratic rule initiated by the commoner estates of the Riksdag.",0.0,0.0,neutral
"As a reaction to the failed Great Northern War, a parliamentary system was introduced in 1719, followed by three different flavours of constitutional monarchy in 1772, 1789 and 1809, the latter granting several civil liberties.",0.06000000000000001,0.32999999999999996,positive
"Already during the first of those three periods, the Era of Liberty 1719 72 the Swedish Rikstag had developed into a very active Parliament, and this tradition continued into the nineteenth century, laying the basis for the transition towards modern democracy at the end of that century.",0.09416666666666666,0.42833333333333334,positive
"In the 18th century, Sweden did not have enough resources to maintain its territories outside Scandinavia, and most of them were lost, culminating with the loss in 1809 of eastern Sweden to Russia, which became the highly autonomous Grand Principality of Finland in Imperial Russia.",0.27999999999999997,0.55,positive
"In interest of re establishing Swedish dominance in the Baltic Sea, Sweden allied itself against its traditional ally and benefactor, France, in the Napoleonic Wars.",0.0,0.75,neutral
"However, in 1810, a French Marshal, Jean Baptiste Bernadotte, was chosen as heir presumptive to Charles XIII; in 1818, he established the House of Bernadotte, taking the regnal name of Charles XIV.",0.0,0.0,neutral
"Sweden s role in the Battle of Leipzig gave it the authority to force Denmark Norway, an ally of France, to cede Norway to the King of Sweden on 14 January 1814 in exchange for the northern German provinces, at the Treaty of Kiel.",0.0,0.0,neutral
"The Norwegian attempts to keep their status as a sovereign state were rejected by the Swedish king, Charles XIII.",0.0,0.0,neutral
"He launched a military campaign against Norway on 27 July 1814, ending in the Convention of Moss, which forced Norway into a personal union with Sweden under the Swedish crown, which lasted until 1905.",-0.13333333333333333,0.20000000000000004,negative
The 1814 campaign was the last time Sweden was at war.,0.0,0.06666666666666667,neutral
The Swedish East India Company began in 1731.,0.0,0.0,neutral
"The obvious choice of home port was Gothenburg at Sweden s west coast, the mouth of Göta älv river is very wide and has the county s largest and best harbour for high seas journeys.",0.2575,0.465,positive
"The trade continued into the 19th century, and caused the little town to become Sweden s second city.",-0.09375,0.25,negative
"Between 1750 and 1850, the population in Sweden doubled.",0.0,0.0,neutral
"According to some scholars, mass emigration to America became the only way to prevent famine and rebellion; over 1 of the population emigrated annually during the 1880s.",0.0,1.0,neutral
It is thought that between 1850 and 1910 more than one million Swedes moved to the United States.,0.5,0.5,positive
"Nevertheless, Sweden remained poor, retaining a nearly entirely agricultural economy even as Western European countries began to industrialise.",-0.1,0.30625,negative
"Despite the slow rate of industrialisation into the 19th century, many important changes were taking place in the agrarian economy due to constant innovations and a rapid population growth.",0.095,0.5216666666666667,positive
"These innovations included government sponsored programmes of enclosure, aggressive exploitation of agricultural lands, and the introduction of new crops such as the potato.",0.06818181818181818,0.4772727272727273,positive
"The Swedish farming culture began to take on a critical role in Swedish politics, which has continued through modern times with modern Agrarian party now called the Centre Party .",0.13333333333333333,0.46666666666666673,positive
"Between 1870 and 1914, Sweden began developing the industrialised economy that exists today.",0.0,0.0,neutral
"Strong grassroots movements sprang up in Sweden during the latter half of the 19th century trade unions, temperance groups, and independent religious groups , creating a strong foundation of democratic principles.",0.11666666666666668,0.3347222222222222,positive
"These movements precipitated Sweden s migration into a modern parliamentary democracy, achieved by the time of World War I.",0.2,0.3,positive
"As the Industrial Revolution progressed during the 20th century, people gradually moved into cities to work in factories and became involved in socialist unions.",0.0,0.0,neutral
"A communist revolution was avoided in 1917, following the re introduction of parliamentarism, and the country was democratised.",0.0,0.1,neutral
Sweden was officially neutral during World War I.,0.0,0.0,neutral
"However, under pressure from the German Empire, they did take steps which were detrimental to the Allied powers most notably, mining the Øresund channel, thus closing it to Allied shipping, and allowing the Germans to use Swedish facilities and the Swedish cipher to transmit secret messages to their overseas embassies.",0.15,0.425,positive
"Sweden also allowed volunteers to fight alongside the Germans for the White Guards against the Red Guards and Russians in the Finnish Civil War, and briefly occupied Åland in cooperation with the German Empire.",0.0,0.08333333333333333,neutral
"As in the First World War, Sweden remained officially neutral during World War II, although its neutrality has been disputed.",0.25,0.3333333333333333,positive
"Sweden was under German influence for much of the war, as ties to the rest of the world were cut off through blockades.",0.1,0.1,positive
The Swedish government unofficially supported Finland in the Winter War and the Continuation War by allowing volunteers and materiel to be shipped to Finland.,0.0,0.0,neutral
"However, Sweden supported Norwegian resistance against Germany, and in 1943 helped rescue Danish Jews from deportation to Nazi concentration camps.",0.0,0.0,neutral
"During the last year of the war, Sweden began to play a role in humanitarian efforts, and many refugees, among them several thousand Jews from Nazi occupied Europe, were rescued thanks to the Swedish rescue missions to internment camps and partly because Sweden served as a haven for refugees.",0.175,0.19166666666666665,positive
The Swedish diplomat Raoul Wallenberg and his colleagues ensured the safety of tens of thousands of Hungarian Jews.,0.0,0.0,neutral
"Nevertheless, both Swedes and others have argued that Sweden could have done more to oppose the Nazis war efforts.",0.5,0.5,positive
"Sweden was officially a neutral country and remained outside NATO and Warsaw Pact membership during the Cold War, but privately Sweden s leadership had strong ties with the United States and other western governments.",-0.048611111111111105,0.4222222222222222,neutral
"Following the war, Sweden took advantage of an intact industrial base, social stability and its natural resources to expand its industry to supply the rebuilding of Europe.",-0.16666666666666669,0.3916666666666667,negative
Sweden received aid under the Marshall Plan and participated in the OECD.,0.0,0.0,neutral
"During most of the post war era, the country was governed by the Swedish Social Democratic Party largely in co operation with trade unions and industry.",0.2492063492063492,0.33174603174603173,positive
The government actively pursued an internationally competitive manufacturing sector of primarily large corporations.,0.026984126984126982,0.3428571428571428,neutral
Sweden was one of the founding states of the European Free Trade Area EFTA .,0.2,0.4,positive
"During the 1960s the EFTA countries were often referred to as the Outer Seven, as opposed to the Inner Six of the then European Economic Community EEC .",0.06666666666666667,0.12222222222222223,positive
"Like many industrialised countries, Sweden entered a period of economic decline and upheaval following the oil embargoes of 1973 74 and 1978 79.",0.2333333333333333,0.26666666666666666,positive
In the 1980s several key Swedish industries were significantly restructured.,0.125,0.625,positive
"Shipbuilding was discontinued, wood pulp was integrated into modernised paper production, the steel industry was concentrated and specialised, and mechanical engineering was robotised.",0.0,0.0,neutral
Swedish GDP per capita ranking declined during this time.,0.0,0.0,neutral
A bursting real estate bubble caused by inadequate controls on lending combined with an international recession and a policy switch from anti unemployment policies to anti inflationary policies resulted in a fiscal crisis in the early 1990s.,0.10000000000000002,0.20000000000000004,positive
Sweden s GDP declined by around 5 .,0.0,0.0,neutral
"In 1992, a run on the currency caused the central bank to briefly increase interest rates to 500 .",0.0,0.29166666666666663,neutral
"The response of the government was to cut spending and institute a multitude of reforms to improve Sweden s competitiveness, among them reducing the welfare state and privatising public services and goods.",0.0,0.06666666666666667,neutral
A referendum passed with 52.3 in favour of joining the EU on 13 November 1994.,0.0,0.0,neutral
Sweden joined the European Union on 1 January 1995.,0.0,0.0,neutral
In a 2003 referendum the Swedish electorate voted against joining the Euro currency.,0.0,0.0,neutral
Sweden held the chair of the European Union from 1 July to 31 December 2009.,0.0,0.0,neutral
"On 28 September 1994, the MS Estonia sank as the ship was crossing the Baltic Sea, en route from Tallinn, Estonia, to Stockholm, Sweden.",0.0,0.0,neutral
"The disaster claimed the lives of 852 people 501 of them were Swedes , being one of the worst maritime disasters of the 20th century.",-0.5,0.5,negative
"Until 2022, Sweden generally remained non aligned militarily, although it participated in some joint military exercises with the North Atlantic Treaty Organization NATO and some other countries, stationed its troops under NATO command in Afghanistan, took part in EU sponsored peacekeeping operations in Kosovo, Bosnia and Herzegovina, and Cyprus, and helped enforce a UN mandated no fly zone over Libya during the Arab Spring.",-0.135,0.395,negative
"In addition, there was extensive cooperation with other European countries in the area of defence technology and defence industry; some Swedish made weaponry was used by Coalition militaries in Iraq.",-0.041666666666666664,0.23611111111111108,neutral
"In response to the 2022 Russian invasion of Ukraine, Sweden moved to formally join NATO, alongside Finland.",0.0,0.0,neutral
"After many months of delays caused by the objections of Turkey and Hungary, Sweden became a NATO member on 7 March 2024.",0.5,0.5,positive
"In recent decades Sweden has become a more culturally diverse nation due to significant immigration; in 2013, it was estimated that 15 of the population was foreign born, and an additional 5 of the population were born to two immigrant parents.",0.12083333333333333,0.37083333333333335,positive
The influx of immigrants has brought new social challenges.,0.08484848484848484,0.2606060606060606,positive
Violent incidents have periodically occurred including the 2013 Stockholm riots.,-0.8,1.0,negative
"In response to these violent events, the anti immigration opposition party, the Sweden Democrats, promoted their anti immigration policies, while the left wing opposition blamed growing inequality caused by the centre right government s socioeconomic policies.",-0.17142857142857146,0.5119047619047619,negative
"Sweden was heavily affected by the 2015 European migrant crisis, eventually forcing the government to tighten regulations of entry to the country.",-0.1,0.25,negative
Some of the asylum restrictions were relaxed again later.,0.0,0.0,neutral
"On 30 November 2021, Magdalena Andersson became Sweden s first female prime minister.",0.125,0.25,positive
The September 2022 general election ended in a narrow win to a bloc of right wing parties.,0.23392857142857143,0.45892857142857146,positive
"On 18 October 2022, Ulf Kristersson of the Moderate Party became the new Prime Minister.",0.06818181818181818,0.5772727272727273,positive
"Situated in Northern Europe, Sweden lies west of the Baltic Sea and Gulf of Bothnia, providing a long coastline, and forms the eastern part of the Scandinavian Peninsula.",-0.05,0.4,neutral
"To the west is the Scandinavian mountain chain Skanderna , a range that separates Sweden from Norway.",0.0,0.0,neutral
Finland is located to its north east.,0.0,0.0,neutral
"It has maritime borders with Denmark, Germany, Poland, Russia, Lithuania, Latvia and Estonia, and it is also linked to Denmark south west by the Öresund Bridge.",0.0,0.0,neutral
"Its border with Norway 1,619 km long is the longest uninterrupted border within Europe.",-0.025,0.2,neutral
"Sweden lies between latitudes 55 and 70 N, and mostly between longitudes 11 and 25 E part of Stora Drammen island is just west of 11 .",0.5,0.5,positive
"At 449,964 km2 173,732 sq mi , Sweden is the 55th largest country in the world, the fifth largest country in Europe, and the largest country in Northern Europe.",0.0,0.0,neutral
"The lowest elevation in Sweden is in the bay of Lake Hammarsjön, near Kristianstad, at 2.41 m 7.91 ft below sea level.",0.1,0.4,positive
"The highest point is Kebnekaise at 2,111 m 6,926 ft above sea level.",0.0,0.1,neutral
Sweden has 25 provinces or landskap.,0.0,0.0,neutral
"While these provinces serve no political or administrative purpose, they play an important role in people s self identity.",0.2,0.55,positive
"The provinces are usually grouped together in three large lands, parts, the northern Norrland, the central Svealand and southern Götaland.",-0.008928571428571432,0.23214285714285715,neutral
The sparsely populated Norrland encompasses almost 60 of the country.,0.0,0.0,neutral
"Sweden also has the Vindelfjällen Nature Reserve, one of the largest protected areas in Europe, totaling 562,772 ha approx.",0.0,0.0,neutral
"5,628 km2 .",0.0,0.0,neutral
About 15 of Sweden lies north of the Arctic Circle.,0.0,0.0,neutral
"Southern Sweden is predominantly agricultural, with increasing forest coverage northward.",0.0,0.0,neutral
Around 65 of Sweden s total land area is covered with forests.,0.0,0.75,neutral
"The highest population density is in the Öresund Region in southern Sweden, along the western coast up to central Bohuslän, and in the valley of lake Mälaren and Stockholm.",0.0,0.08333333333333333,neutral
Gotland and Öland are Sweden s largest islands; Vänern and Vättern are its largest lakes.,0.0,0.0,neutral
"Vänern is the third largest in Europe, after Lake Ladoga and Lake Onega in Russia.",0.0,0.0,neutral
